,Item,Receipts,Inv_Adj,Aftr_adj_Qty,Cost,Sales_Qty,year,month
0,ADJ DMX OPERATOR PRO,1.0,0.0,1.0,208.38,0.0,2019,8
1,ADJ ENCORE PROFILE 1000 COLOR,2.0,0.0,2.0,1042.0,0.0,2019,8
2,ADJ ENTOUR FAZE,1.0,0.0,1.0,208.38,0.0,2019,8
3,ADJ ENTOUR VENUE,1.0,0.0,1.0,416.8,0.0,2019,8
4,ADJ FOCUS SPOT ONE,4.0,0.0,4.0,1477.68,0.0,2019,8
5,ADJ FOCUS SPOT THREE Z,2.0,0.0,2.0,1364.12,0.0,2019,8
6,ADJ MEGA FLASH DMX,3.0,0.0,3.0,306.81,0.0,2019,8
7,ADJ MEGA FLAT PAK 8 PLUS,2.0,0.0,2.0,985.18,0.0,2019,8
8,ADJ POCKET PRO,4.0,0.0,4.0,852.44,0.0,2019,8
9,ADJ POCKET PRO PEARL,4.0,0.0,4.0,890.36,0.0,2019,8
10,ADJ RAYZER,3.0,0.0,3.0,477.33000000000004,0.0,2019,8
11,ADJ SCENE SETTER,2.0,0.0,2.0,350.42,0.0,2019,8
12,ADJ SCENE SETTER 48,1.0,0.0,1.0,298.38,0.0,2019,8
13,ADJ VIZI BEAM RXONE,2.0,0.0,2.0,1364.12,0.0,2019,8
14,AKG Acoustics HSD171,2.0,0.0,2.0,297.6,0.0,2019,8
15,AKG Acoustics Perception 200,2.0,0.0,2.0,22.5,0.0,2019,8
16,AKG K141 MKii,5.0,0.0,5.0,367.35,0.0,2019,8
17,Alesis MultiMix 4 USB FX,1.0,0.0,1.0,70.0,0.0,2019,8
18,Alesis iMultimix 9R,1.0,0.0,1.0,0.0,0.0,2019,8
19,Allen & Heath AH-AP6450,5.0,0.0,5.0,232.5,0.0,2019,8
20,Allen & Heath AH-AP6451,3.0,0.0,3.0,153.45,0.0,2019,8
21,Allen & Heath AH-M-ACE-A,1.0,0.0,1.0,487.55,0.0,2019,8
22,Allen & Heath AH-ME-1,1.0,0.0,1.0,449.69,0.0,2019,8
